customer_id,enquiry_date,total_credit_cards,credit_utilization_ratio,oldest_account_months,recent_defaults
CUST00128,2024-10-07,2,0.84,178,0
CUST00129,2024-03-07,4,0.36,126,2
CUST00130,2024-04-18,1,0.82,72,0
CUST00131,2024-08-26,6,0.71,156,0
CUST00132,2023-06-02,6,0.27,168,2
CUST00133,2023-08-30,0,0.48,179,0
CUST00134,2024-06-21,2,0.4,211,0
CUST00135,2023-07-04,8,0.42,75,0
CUST00136,2023-02-07,7,0.7,137,2
CUST00137,2024-08-01,0,0.47,63,1
CUST00138,2023-04-25,5,0.46,231,0
CUST00139,2024-06-21,3,0.78,33,0
CUST00140,2023-04-18,8,0.58,156,0
CUST00141,2024-12-24,6,0.46,215,0
CUST00142,2023-10-12,3,0.18,148,0
CUST00143,2024-07-18,5,0.46,161,2
CUST00144,2023-01-28,3,0.33,171,1
CUST00145,2023-03-15,7,0.19,65,0
CUST00146,2024-05-28,6,0.09,95,0
CUST00147,2024-06-11,3,0.68,132,1
CUST00148,2023-06-11,3,0.69,160,3
CUST00149,2024-11-08,2,0.89,126,0
CUST00150,2023-05-22,5,0.84,151,0
CUST00151,2023-04-15,6,0.47,59,3
CUST00152,2024-01-30,3,0.31,126,1
CUST00153,2024-04-04,5,0.36,15,0
CUST00154,2023-09-15,8,0.46,204,0
CUST00155,2023-07-27,7,0.71,151,0
CUST00156,2024-10-19,3,0.18,123,0
CUST00157,2023-12-10,8,0.48,220,0
CUST00158,2023-09-26,4,0.14,16,0
CUST00159,2024-09-16,6,0.86,46,0
CUST00160,2024-12-01,7,0.75,98,0
CUST00161,2023-11-26,4,0.62,199,3
CUST00162,2023-07-21,5,0.54,91,2
CUST00163,2024-02-23,0,0.05,228,0
CUST00164,2024-04-28,4,0.85,12,1
CUST00165,2024-01-15,1,0.36,71,0
CUST00166,2024-03-24,7,0.09,189,3
CUST00167,2024-03-31,3,0.25,216,0
CUST00168,2023-06-22,7,0.22,100,0
CUST00169,2023-11-12,0,0.65,10,0
CUST00170,2023-08-14,0,0.62,177,0
CUST00171,2024-05-18,7,0.31,177,3
CUST00172,2024-11-09,5,0.41,20,0
CUST00173,2023-07-18,5,0.23,142,3
CUST00174,2024-10-04,0,0.86,171,0
CUST00175,2024-04-15,2,0.59,82,2
CUST00176,2023-07-01,7,0.83,153,0
CUST00177,2023-02-07,2,0.89,162,0
CUST00178,2024-11-18,4,0.23,213,0
CUST00179,2024-12-12,6,0.86,165,2
CUST00180,2024-04-21,0,0.43,14,0
CUST00181,2024-04-01,0,0.34,111,0
CUST00182,2024-04-25,5,0.87,46,2
CUST00183,2024-07-10,8,0.46,224,2
CUST00184,2023-02-17,2,0.41,88,0
CUST00185,2024-03-12,7,0.78,78,0
CUST00186,2023-06-05,8,0.3,174,0
CUST00187,2024-11-04,6,0.89,56,0
CUST00188,2024-02-29,1,0.5,117,1
CUST00189,2024-06-17,6,0.45,45,0
CUST00190,2024-12-08,1,0.77,128,0
CUST00191,2024-05-06,0,0.8,42,0
CUST00192,2024-06-01,5,0.41,230,0
CUST00193,2024-01-19,8,0.6,169,0
CUST00194,2024-06-17,0,0.06,53,0
CUST00195,2023-08-03,2,0.91,230,1
CUST00196,2023-09-26,5,0.83,147,0
CUST00197,2024-12-05,0,0.56,62,0
CUST00198,2024-04-09,3,0.23,161,0
CUST00199,2024-07-24,7,0.14,40,2
CUST00200,2024-10-06,6,0.26,123,0
CUST00201,2024-09-25,7,0.42,199,1
CUST00202,2024-05-25,1,0.84,156,0
CUST00203,2023-01-18,2,0.53,49,0
CUST00204,2023-04-07,1,0.2,154,1
CUST00205,2024-04-15,2,0.88,142,0
CUST00206,2024-07-23,1,0.76,232,0
CUST00207,2023-08-17,0,0.69,182,0
CUST00208,2024-12-07,6,0.7,186,2
CUST00209,2024-06-25,2,0.77,219,3
CUST00210,2024-02-10,7,0.71,170,0
CUST00211,2024-04-04,2,0.77,50,1
CUST00212,2023-08-26,0,0.19,49,0
CUST00213,2024-11-06,0,0.83,57,0
CUST00214,2023-07-13,5,0.19,215,0
CUST00215,2023-06-30,8,0.27,161,0
CUST00216,2023-04-01,4,0.38,78,0
CUST00217,2023-04-05,0,0.6,230,0
CUST00218,2023-01-08,2,0.62,89,0
CUST00219,2024-05-16,6,0.92,62,1
CUST00220,2023-05-27,2,0.55,94,0
CUST00221,2024-04-17,5,0.47,32,0
CUST00222,2024-09-02,7,0.3,19,1
CUST00223,2024-09-05,1,0.93,204,0
CUST00224,2023-04-21,8,0.21,114,2
CUST00225,2023-11-20,5,0.1,136,0
CUST00226,2024-10-27,4,0.85,191,1
CUST00227,2023-04-18,3,0.58,224,0
CUST00228,2024-10-27,7,0.64,83,2
CUST00229,2023-06-12,8,0.69,118,1
CUST00230,2023-11-24,8,0.17,203,1
CUST00231,2023-08-04,4,0.86,215,0
CUST00232,2024-07-09,7,0.44,38,1
CUST00233,2023-05-22,0,0.58,225,0
CUST00234,2024-05-06,7,0.62,33,0
CUST00235,2023-11-21,1,0.67,104,2
CUST00236,2024-05-10,6,0.93,157,0
CUST00237,2023-02-27,2,0.33,160,0
CUST00238,2024-02-10,7,0.14,72,0
CUST00239,2024-05-06,1,0.29,130,0
CUST00240,2024-07-22,5,0.61,15,0
CUST00241,2023-11-24,2,0.52,178,0
CUST00242,2024-09-19,1,0.26,22,3
CUST00243,2023-12-06,4,0.24,119,0
CUST00244,2024-04-19,3,0.58,218,0
CUST00245,2023-06-27,4,0.14,148,0
CUST00246,2023-09-17,5,0.66,228,2
CUST00247,2023-03-20,2,0.5,149,2
CUST00248,2024-09-29,3,0.72,8,1
CUST00249,2024-03-26,3,0.34,53,0
CUST00250,2024-08-19,8,0.25,151,0
CUST00251,2023-08-24,2,0.56,35,0
CUST00252,2023-05-20,1,0.83,219,1
CUST00253,2024-12-07,4,0.47,206,2
CUST00254,2023-11-28,5,0.34,123,0
CUST00255,2024-08-19,3,0.41,84,0
CUST00256,2023-06-30,0,0.22,81,0
CUST00257,2023-11-17,2,0.16,88,2
CUST00258,2023-11-10,3,0.69,54,0
CUST00259,2023-07-13,1,0.44,143,1
CUST00260,2024-10-03,3,0.18,136,1
CUST00261,2024-11-23,0,0.85,186,0
CUST00262,2024-06-04,3,0.27,147,0
CUST00263,2023-11-03,0,0.42,37,3
CUST00264,2023-02-04,0,0.3,142,0
CUST00265,2023-06-14,7,0.82,188,0
CUST00266,2023-08-31,4,0.46,26,0
CUST00267,2024-06-25,7,0.32,44,0
CUST00268,2023-06-04,5,0.81,48,0
CUST00269,2023-11-24,5,0.21,228,0
CUST00270,2024-12-18,0,0.53,36,0
CUST00271,2023-01-20,0,0.6,133,0
CUST00272,2023-06-11,7,0.85,199,3
CUST00273,2024-08-27,6,0.78,57,0
CUST00274,2023-10-07,7,0.42,27,0
CUST00275,2023-02-14,6,0.89,126,0
CUST00276,2023-12-02,2,0.72,197,2
CUST00277,2023-02-20,7,0.16,97,0
CUST00278,2023-09-12,2,0.4,39,1
CUST00279,2024-02-17,2,0.41,79,0
CUST00280,2023-08-09,2,0.85,137,0
CUST00281,2024-06-12,4,0.3,196,1
CUST00282,2024-11-22,5,0.3,204,0
CUST00283,2024-04-11,5,0.95,190,0
CUST00284,2024-04-06,4,0.93,211,0
CUST00285,2024-08-08,1,0.14,234,1
CUST00286,2023-09-07,5,0.8,66,0
CUST00287,2023-03-31,7,0.13,123,0
CUST00288,2023-12-18,5,0.73,22,0
CUST00289,2024-01-31,7,0.06,153,0
CUST00290,2023-04-07,2,0.37,54,0
CUST00291,2023-07-16,6,0.66,194,0
CUST00292,2023-12-30,1,0.73,100,0
CUST00293,2023-08-11,7,0.41,139,0
CUST00294,2024-07-31,1,0.34,64,3
CUST00295,2023-09-01,4,0.47,79,0
CUST00296,2023-11-15,7,0.82,151,0
CUST00297,2023-01-15,3,0.65,74,0
CUST00298,2024-11-02,8,0.5,145,0
CUST00299,2023-03-07,5,0.36,116,0
CUST00300,2024-02-04,4,0.1,38,0
CUST00301,2024-03-03,7,0.94,215,0
CUST00302,2024-01-18,8,0.81,194,1
CUST00303,2023-02-05,6,0.54,157,0
CUST00304,2024-03-12,8,0.5,204,0
CUST00305,2023-03-05,7,0.5,149,1
CUST00306,2024-01-27,7,0.72,148,0
CUST00307,2023-10-17,0,0.62,45,0
CUST00308,2023-04-23,8,0.54,230,0
CUST00309,2024-03-06,6,0.53,162,0
CUST00310,2024-03-24,8,0.62,143,0
CUST00311,2024-03-18,6,0.67,109,0
CUST00312,2023-07-20,3,0.17,148,0
CUST00313,2023-12-11,1,0.5,117,2
CUST00314,2024-01-23,7,0.49,73,0
CUST00315,2024-08-18,4,0.3,33,0
CUST00316,2024-06-27,7,0.68,66,0
CUST00317,2023-08-05,5,0.52,76,1
CUST00318,2024-05-01,6,0.51,126,1
CUST00319,2024-02-17,4,0.37,41,0
CUST00320,2024-03-18,3,0.94,234,0
CUST00321,2023-09-04,1,0.83,123,0
CUST00322,2024-10-27,1,0.23,205,0
CUST00323,2024-11-06,5,0.44,211,3
CUST00324,2024-02-02,2,0.71,238,0
CUST00325,2024-04-01,0,0.17,140,0
CUST00326,2023-11-24,1,0.82,189,0
CUST00327,2023-03-17,8,0.8,7,0
CUST00328,2023-10-28,1,0.52,208,0
CUST00329,2023-04-25,6,0.71,32,0
CUST00330,2023-01-16,7,0.14,112,0
CUST00331,2024-09-01,2,0.58,97,0
CUST00332,2024-10-08,3,0.22,194,0
CUST00333,2024-08-13,0,0.2,79,1
CUST00334,2023-01-28,3,0.86,184,0
CUST00335,2023-03-21,4,0.71,159,0
CUST00336,2023-11-09,3,0.22,217,0
CUST00337,2023-04-04,8,0.21,9,0
CUST00338,2024-10-03,2,0.08,152,0
CUST00339,2024-03-10,4,0.64,129,0
CUST00340,2024-08-06,0,0.74,193,0
CUST00341,2023-08-01,5,0.43,27,2
CUST00342,2024-02-21,6,0.55,229,0
CUST00343,2024-07-15,0,0.89,17,0
CUST00344,2023-07-18,7,0.91,148,1
CUST00345,2023-05-10,8,0.08,145,1
CUST00346,2024-05-10,1,0.72,27,0
CUST00347,2024-10-30,7,0.19,86,0
CUST00348,2024-08-01,5,0.45,113,0
CUST00349,2023-05-23,8,0.7,140,0
CUST00350,2023-08-29,8,0.84,144,1
CUST00351,2024-02-10,7,0.89,200,1
CUST00352,2023-02-02,2,0.56,57,0
CUST00353,2024-07-22,0,0.77,147,0
CUST00354,2023-06-26,7,0.31,180,0
CUST00355,2023-07-29,1,0.43,198,0
CUST00356,2024-10-03,3,0.41,24,0
CUST00357,2023-05-07,3,0.45,213,1
CUST00358,2023-09-07,2,0.18,53,0
CUST00359,2024-11-17,3,0.84,57,3
CUST00360,2024-04-28,3,0.76,231,1
CUST00361,2024-02-12,3,0.17,198,1
CUST00362,2024-12-30,6,0.92,97,0
CUST00363,2023-01-01,6,0.52,240,0
CUST00364,2023-08-20,7,0.13,185,0
CUST00365,2023-06-02,6,0.36,201,1
CUST00366,2024-07-12,0,0.7,166,1
CUST00367,2024-01-08,2,0.61,162,2
CUST00368,2023-09-18,0,0.49,162,0
CUST00369,2024-12-17,0,0.5,8,0
CUST00370,2024-12-25,2,0.58,77,1
CUST00371,2023-04-24,8,0.63,141,2
CUST00372,2024-07-13,0,0.73,51,0
CUST00373,2024-08-14,8,0.84,113,0
CUST00374,2024-07-22,1,0.22,214,1
CUST00375,2023-07-07,0,0.57,163,0
CUST00376,2023-11-21,4,0.43,91,0
CUST00377,2024-02-26,8,0.85,186,0
CUST00378,2024-02-03,8,0.09,198,2
CUST00379,2023-04-03,6,0.74,57,0
CUST00380,2024-08-12,0,0.68,85,0
CUST00381,2023-12-20,5,0.25,233,0
CUST00382,2024-01-27,1,0.73,228,0
CUST00383,2023-12-15,7,0.16,108,3
CUST00384,2023-09-06,7,0.89,235,0
CUST00385,2023-10-03,5,0.13,172,0
CUST00386,2024-04-03,3,0.5,115,0
CUST00387,2024-11-04,7,0.87,187,3
CUST00388,2023-12-17,5,0.58,155,3
CUST00389,2024-02-15,4,0.66,99,1
CUST00390,2024-06-14,4,0.6,49,0
CUST00391,2023-03-29,6,0.78,227,0
CUST00392,2024-03-29,3,0.4,119,0
CUST00393,2024-06-26,7,0.15,50,1
CUST00394,2023-12-15,3,0.14,138,1
CUST00395,2024-12-11,3,0.73,205,0
CUST00396,2024-12-11,7,0.82,75,1
CUST00397,2023-09-22,3,0.83,110,0
CUST00398,2024-09-12,5,0.23,148,0
CUST00399,2024-03-09,8,0.81,135,0
CUST00400,2023-11-10,5,0.49,206,0
CUST00401,2024-08-21,4,0.23,78,0
CUST00402,2023-05-25,4,0.05,50,0
CUST00403,2024-08-10,6,0.64,214,0
CUST00404,2023-11-04,5,0.81,15,2
CUST00405,2024-12-27,6,0.51,234,0
CUST00406,2024-03-09,3,0.4,58,2
CUST00407,2023-09-01,7,0.14,96,0
CUST00408,2023-05-29,6,0.71,113,0
CUST00409,2023-06-11,1,0.41,193,1
CUST00410,2024-12-22,6,0.26,118,0
CUST00411,2023-04-04,3,0.47,33,0
CUST00412,2023-08-17,4,0.84,71,0
CUST00413,2023-08-25,5,0.84,208,0
CUST00414,2024-11-10,0,0.73,234,0
CUST00415,2024-02-03,3,0.09,201,2
CUST00416,2024-01-16,3,0.38,52,0
CUST00417,2024-08-07,0,0.57,69,0
CUST00418,2023-06-14,3,0.24,216,1
CUST00419,2023-03-26,1,0.47,213,0
CUST00420,2024-05-22,2,0.52,196,0
CUST00421,2023-12-19,2,0.56,110,1
CUST00422,2024-07-07,8,0.12,71,1
CUST00423,2024-07-12,4,0.61,144,0
CUST00424,2023-09-07,6,0.54,44,0
CUST00425,2024-11-29,6,0.9,153,0
CUST00426,2023-07-03,7,0.1,96,0
CUST00427,2024-07-17,8,0.87,168,2
CUST00428,2023-04-12,1,0.81,231,1
CUST00429,2023-12-16,3,0.84,140,0
CUST00430,2023-10-13,4,0.32,16,1
CUST00431,2024-11-22,0,0.93,152,1
CUST00432,2023-07-23,1,0.35,157,1
CUST00433,2023-02-14,7,0.81,234,0
CUST00434,2023-06-01,3,0.12,107,0
CUST00435,2023-01-24,7,0.62,127,1
CUST00436,2024-09-15,3,0.14,156,0
CUST00437,2023-02-05,5,0.83,98,0
CUST00438,2023-07-04,8,0.65,115,0
CUST00439,2024-12-19,8,0.83,74,0
CUST00440,2023-01-09,6,0.71,153,0
CUST00441,2024-05-30,8,0.41,193,2
CUST00442,2023-11-16,8,0.14,100,0
CUST00443,2023-02-27,7,0.24,45,0
CUST00444,2024-10-04,7,0.86,64,0
CUST00445,2023-03-26,3,0.26,61,0
CUST00446,2023-05-22,4,0.29,30,0
CUST00447,2023-06-18,8,0.55,39,0
CUST00448,2024-05-30,8,0.59,204,0
CUST00449,2024-09-27,3,0.23,232,0
CUST00450,2024-02-29,8,0.33,53,0
CUST00451,2024-11-19,0,0.74,113,0
CUST00452,2024-01-13,4,0.85,43,0
CUST00453,2023-04-13,6,0.58,82,2
CUST00454,2023-10-19,1,0.66,60,0
CUST00455,2024-02-02,7,0.87,143,0
CUST00456,2024-06-19,4,0.33,190,0
CUST00457,2024-01-14,6,0.66,51,0
CUST00458,2024-05-18,2,0.52,164,0
CUST00459,2023-09-30,0,0.72,234,0
CUST00460,2024-11-24,3,0.68,37,2
CUST00461,2023-10-22,7,0.29,180,0
CUST00462,2024-06-26,7,0.69,178,0
CUST00463,2023-08-27,3,0.24,186,0
CUST00464,2024-11-17,8,0.62,115,0
CUST00465,2024-09-14,2,0.74,17,2
CUST00466,2023-12-18,2,0.7,99,0
CUST00467,2023-09-30,0,0.54,70,0
CUST00468,2023-03-18,5,0.26,110,1
CUST00469,2024-11-20,2,0.88,133,0
CUST00470,2024-05-18,1,0.82,22,0
CUST00471,2023-06-20,6,0.58,53,2
CUST00472,2024-06-06,3,0.71,15,3
CUST00473,2023-07-13,0,0.41,128,0
CUST00474,2023-11-08,1,0.21,32,0
CUST00475,2024-01-31,5,0.74,152,0
CUST00476,2024-10-18,4,0.34,231,0
CUST00477,2024-11-04,5,0.52,102,0
CUST00478,2024-01-08,2,0.65,42,0
CUST00479,2023-06-18,6,0.23,116,2
CUST00480,2024-02-02,2,0.6,85,0
CUST00481,2024-11-23,0,0.78,111,0
CUST00482,2024-11-09,7,0.84,132,0
CUST00483,2023-03-27,5,0.74,197,1
CUST00484,2023-02-04,3,0.17,99,0
CUST00485,2023-11-25,1,0.23,168,0
CUST00486,2024-02-25,4,0.46,172,3
CUST00487,2024-04-03,2,0.47,91,1
CUST00488,2024-10-28,3,0.59,33,2
CUST00489,2023-01-12,1,0.62,64,2
CUST00490,2023-05-17,7,0.41,238,0
CUST00491,2024-01-20,8,0.58,138,0
CUST00492,2024-02-22,4,0.71,20,0
CUST00493,2023-10-10,5,0.64,163,3
CUST00494,2023-01-19,0,0.73,233,0
CUST00495,2024-01-09,2,0.28,73,1
CUST00496,2024-05-05,1,0.68,23,0
CUST00497,2024-05-11,3,0.09,151,0
CUST00498,2023-03-01,0,0.14,82,1
CUST00499,2024-08-18,5,0.17,137,1
CUST00500,2023-07-06,4,0.23,81,1
CUST00501,2024-06-22,3,0.32,148,0
CUST00502,2024-04-04,3,0.36,119,3
CUST00503,2024-08-01,8,0.1,207,0
CUST00504,2024-05-16,5,0.32,133,0
CUST00505,2023-12-05,7,0.11,117,0
CUST00506,2024-05-16,3,0.48,206,0
CUST00507,2024-12-24,8,0.65,205,0
CUST00508,2023-04-21,5,0.6,118,1
CUST00509,2024-09-02,4,0.48,108,0
CUST00510,2023-04-16,5,0.75,151,0
CUST00511,2024-07-20,6,0.28,210,3
CUST00512,2023-12-22,8,0.62,9,0
CUST00513,2024-02-08,1,0.7,44,0
CUST00514,2024-02-25,7,0.66,25,0
CUST00515,2023-10-11,4,0.47,90,1
CUST00516,2023-08-04,5,0.59,71,0
CUST00517,2024-11-23,0,0.82,134,0
CUST00518,2023-11-07,5,0.3,87,0
CUST00519,2024-04-05,7,0.62,214,0
CUST00520,2023-08-24,5,0.8,68,1
CUST00521,2023-02-03,5,0.26,126,2
CUST00522,2023-02-16,1,0.45,47,0
CUST00523,2024-08-18,5,0.2,66,0
CUST00524,2023-09-08,4,0.22,32,0
CUST00525,2024-04-23,7,0.23,118,3
CUST00526,2023-12-01,4,0.51,147,2
CUST00527,2023-06-14,6,0.37,201,0
CUST00528,2023-02-06,7,0.3,31,0
CUST00529,2023-12-15,1,0.17,201,0
CUST00530,2024-11-30,7,0.55,184,0
CUST00531,2024-05-29,7,0.8,206,0
CUST00532,2023-04-19,5,0.12,177,1
CUST00533,2024-07-21,7,0.23,132,0
CUST00534,2023-01-02,0,0.27,14,0
CUST00535,2024-01-09,1,0.53,136,0
CUST00536,2024-09-20,5,0.7,21,0
CUST00537,2024-03-01,8,0.47,234,0
CUST00538,2023-08-02,2,0.38,204,0
CUST00539,2024-05-08,7,0.6,124,0
CUST00540,2024-07-08,6,0.24,101,1
CUST00541,2023-05-16,1,0.93,141,0
CUST00542,2024-01-18,4,0.89,176,1
CUST00543,2024-05-15,0,0.42,73,0
CUST00544,2024-06-26,3,0.87,176,0
CUST00545,2024-10-24,6,0.36,210,0
CUST00546,2024-04-25,6,0.26,191,0
CUST00547,2024-02-04,7,0.9,55,0
CUST00548,2023-04-27,1,0.65,78,0
CUST00549,2024-12-30,5,0.2,110,0
CUST00550,2023-05-19,0,0.15,177,0
CUST00551,2023-05-04,7,0.51,121,0
CUST00552,2023-02-10,1,0.66,91,0
CUST00553,2024-02-09,0,0.23,210,2
CUST00554,2024-05-10,6,0.82,221,0
CUST00555,2024-01-30,6,0.87,190,0
CUST00556,2023-02-22,5,0.44,194,0
CUST00557,2023-11-21,7,0.62,147,0
CUST00558,2024-09-28,0,0.68,18,2
CUST00559,2023-04-01,0,0.86,206,0
CUST00560,2024-03-02,4,0.08,87,0
CUST00561,2023-04-09,5,0.83,109,1
CUST00562,2023-01-04,7,0.86,184,2
CUST00563,2024-12-18,2,0.7,188,0
CUST00564,2024-04-25,1,0.79,115,0
CUST00565,2023-09-14,2,0.1,80,1
CUST00566,2024-12-21,5,0.49,99,2
CUST00567,2024-05-05,1,0.25,20,0
CUST00568,2024-02-16,2,0.71,100,0
CUST00569,2024-09-23,1,0.1,20,0
CUST00570,2023-08-19,6,0.49,18,0
CUST00571,2024-03-14,8,0.52,9,0
CUST00572,2023-05-02,8,0.3,95,0
CUST00573,2024-12-06,2,0.9,210,0
CUST00574,2023-03-18,6,0.77,177,0
CUST00575,2023-03-13,0,0.95,199,0
CUST00576,2024-06-13,4,0.12,103,3
CUST00577,2023-12-13,8,0.15,7,1
CUST00578,2023-05-14,0,0.42,36,0
CUST00579,2024-07-15,6,0.42,205,0
CUST00580,2023-06-27,8,0.08,209,3
CUST00581,2024-08-04,0,0.53,227,1
CUST00582,2023-08-21,6,0.5,191,0
CUST00583,2024-06-21,1,0.35,51,1
CUST00584,2023-09-01,0,0.18,168,0
CUST00585,2024-03-09,1,0.22,152,0
CUST00586,2024-04-23,3,0.12,235,2
CUST00587,2024-07-19,3,0.88,91,2
CUST00588,2023-03-01,5,0.84,114,1
CUST00589,2023-08-09,7,0.19,215,2
CUST00590,2024-01-22,2,0.55,30,3
CUST00591,2023-11-25,1,0.09,51,2
CUST00592,2023-03-03,3,0.73,82,0
CUST00593,2023-03-09,8,0.15,84,0
CUST00594,2024-04-14,7,0.86,219,0
CUST00595,2024-03-11,5,0.34,27,0
CUST00596,2024-01-24,2,0.19,165,0
CUST00597,2024-06-22,7,0.73,171,0
CUST00598,2024-07-04,0,0.36,23,2
CUST00599,2024-02-13,1,0.42,199,0
CUST00600,2024-03-16,0,0.41,187,0
CUST00601,2024-02-11,4,0.17,174,0
CUST00602,2023-07-03,6,0.61,211,0
CUST00603,2024-04-13,6,0.51,99,0
CUST00604,2024-06-27,7,0.6,70,0
