customer_id,joining_date,credit_score,annual_income,employment_status,residential_status,age,state
CUST00087,2023-08-19,623,958800,Employed,Rented,69,West Bengal
CUST00088,2021-08-25,635,486545,Employed,Owned,66,Telangana
CUST00089,2021-10-03,405,1062754,Self-Employed,Rented,58,Maharashtra
CUST00090,2021-08-05,695,743525,Employed,Rented,49,Tamil Nadu
CUST00091,2022-07-22,514,365052,Unemployed,Rented,31,Maharashtra
CUST00092,2022-11-16,360,1856005,Unemployed,Rented,67,Maharashtra
CUST00093,2020-10-21,746,375891,Employed,Owned,24,Kerala
CUST00094,2020-04-14,659,1157201,Unemployed,Owned,59,Kerala
CUST00095,2021-06-20,483,764979,Unemployed,Owned,58,Maharashtra
CUST00096,2020-05-23,647,312322,Employed,Rented,22,West Bengal
CUST00097,2020-03-12,436,1237395,Self-Employed,Owned,20,West Bengal
CUST00098,2023-04-29,823,299498,Unemployed,Owned,67,Uttar Pradesh
CUST00099,2020-09-20,365,1686566,Self-Employed,Rented,29,Telangana
CUST00100,2023-08-05,671,1577051,Unemployed,Rented,27,Gujarat
CUST00101,2021-03-06,671,1433900,Self-Employed,Owned,65,Karnataka
CUST00102,2021-09-28,502,1738628,Employed,Owned,56,Karnataka
CUST00103,2022-04-23,344,1086246,Self-Employed,Rented,18,West Bengal
CUST00104,2020-02-08,818,1718394,Unemployed,Owned,42,Maharashtra
CUST00105,2022-01-09,796,1541331,Unemployed,Rented,35,Kerala
CUST00106,2020-02-18,321,375160,Self-Employed,Owned,66,Uttar Pradesh
CUST00107,2021-12-28,618,1488115,Self-Employed,Owned,45,West Bengal
CUST00108,2023-07-11,382,381316,Unemployed,Rented,69,Tamil Nadu
CUST00109,2021-12-04,777,1189553,Employed,Owned,31,Tamil Nadu
CUST00110,2020-02-03,659,1740057,Employed,Rented,30,Karnataka
CUST00111,2021-07-01,688,780701,Employed,Rented,28,Gujarat
CUST00112,2020-05-11,845,1900388,Employed,Rented,61,Maharashtra
CUST00113,2020-03-04,691,674764,Employed,Owned,69,West Bengal
CUST00114,2020-12-28,621,693177,Self-Employed,Owned,66,Telangana
CUST00115,2020-08-14,603,1422637,Unemployed,Owned,48,Gujarat
CUST00116,2020-12-15,843,912010,Unemployed,Rented,52,Gujarat
CUST00117,2021-11-18,441,346404,Self-Employed,Rented,47,Telangana
CUST00118,2023-09-22,356,755251,Self-Employed,Rented,25,Uttar Pradesh
CUST00119,2020-05-27,414,1701053,Unemployed,Rented,28,Delhi
CUST00120,2022-04-23,834,456432,Unemployed,Rented,52,Uttar Pradesh
CUST00121,2022-06-02,637,1951392,Unemployed,Rented,32,Kerala
CUST00122,2023-02-06,783,1549223,Self-Employed,Owned,49,West Bengal
CUST00123,2022-10-28,532,369041,Employed,Rented,69,Telangana
CUST00124,2020-07-17,820,939436,Unemployed,Owned,61,Telangana
CUST00125,2021-06-08,415,519657,Self-Employed,Owned,60,Delhi
CUST00126,2023-03-12,572,1614056,Employed,Owned,51,Maharashtra
CUST00127,2020-06-17,541,1829381,Employed,Owned,28,Telangana
CUST00128,2023-12-03,322,658797,Self-Employed,Rented,69,Maharashtra
CUST00129,2020-09-13,553,462867,Self-Employed,Rented,43,Kerala
CUST00130,2021-06-24,807,1981787,Self-Employed,Owned,24,Gujarat
CUST00131,2020-10-05,849,1330735,Unemployed,Rented,66,Uttar Pradesh
CUST00132,2020-11-05,667,1831058,Self-Employed,Rented,35,Kerala
CUST00133,2022-08-11,365,1293410,Unemployed,Rented,37,West Bengal
CUST00134,2020-11-06,766,413483,Self-Employed,Rented,19,Tamil Nadu
CUST00135,2020-11-28,572,244090,Self-Employed,Owned,44,Maharashtra
CUST00136,2021-02-22,573,1214938,Unemployed,Owned,63,Telangana
CUST00137,2023-03-27,519,1324230,Employed,Rented,40,West Bengal
CUST00138,2020-02-11,728,394471,Unemployed,Owned,36,West Bengal
CUST00139,2020-04-23,319,1461840,Employed,Rented,40,Karnataka
CUST00140,2020-08-14,479,1333803,Employed,Owned,56,Kerala
CUST00141,2023-10-16,812,399335,Unemployed,Rented,70,Tamil Nadu
CUST00142,2022-03-04,770,674391,Self-Employed,Owned,23,Karnataka
CUST00143,2022-07-25,521,1634995,Unemployed,Rented,51,Rajasthan
CUST00144,2020-09-17,773,650591,Employed,Rented,63,Kerala
CUST00145,2023-04-11,489,387137,Self-Employed,Owned,33,Tamil Nadu
CUST00146,2021-10-08,426,1455664,Self-Employed,Rented,67,Tamil Nadu
CUST00147,2022-11-21,705,1549344,Self-Employed,Owned,53,West Bengal
CUST00148,2020-11-18,467,611256,Employed,Rented,53,West Bengal
CUST00149,2023-11-10,385,979339,Self-Employed,Owned,39,West Bengal
CUST00150,2022-09-05,495,1721448,Employed,Owned,25,Rajasthan
CUST00151,2021-10-07,518,1133149,Self-Employed,Rented,45,Tamil Nadu
CUST00152,2021-05-28,417,1647920,Unemployed,Rented,35,Karnataka
CUST00153,2022-09-01,438,1048932,Employed,Owned,30,West Bengal
CUST00154,2020-01-13,845,1856984,Employed,Rented,59,Rajasthan
CUST00155,2021-04-25,589,1059775,Self-Employed,Rented,41,Tamil Nadu
CUST00156,2023-09-24,557,309930,Self-Employed,Rented,64,Telangana
CUST00157,2020-02-02,821,532364,Employed,Owned,24,Telangana
CUST00158,2022-01-01,595,1525744,Unemployed,Owned,43,Rajasthan
CUST00159,2021-03-18,460,902537,Unemployed,Owned,28,Gujarat
CUST00160,2020-10-28,640,1979131,Unemployed,Rented,43,Karnataka
CUST00161,2023-10-16,616,330687,Self-Employed,Owned,59,Gujarat
CUST00162,2021-08-24,620,1351603,Unemployed,Rented,25,Maharashtra
CUST00163,2020-01-01,718,443004,Employed,Owned,37,Gujarat
CUST00164,2021-07-28,686,1871843,Unemployed,Rented,65,Karnataka
CUST00165,2023-12-28,401,470562,Employed,Rented,56,Kerala
CUST00166,2022-11-19,812,766255,Self-Employed,Rented,30,Delhi
CUST00167,2022-02-10,782,959266,Unemployed,Owned,37,Uttar Pradesh
CUST00168,2023-03-09,321,1251191,Employed,Rented,69,Delhi
CUST00169,2022-03-05,739,1698703,Self-Employed,Owned,37,Kerala
CUST00170,2020-07-06,633,473183,Self-Employed,Rented,30,Uttar Pradesh
CUST00171,2023-10-03,568,432802,Unemployed,Rented,46,Kerala
CUST00172,2023-10-17,692,1499458,Unemployed,Rented,39,Maharashtra
CUST00173,2023-07-21,466,215005,Unemployed,Owned,55,Karnataka
CUST00174,2022-05-11,523,419108,Unemployed,Rented,23,Maharashtra
CUST00175,2021-05-03,450,1186061,Employed,Rented,31,Telangana
CUST00176,2020-05-14,682,849110,Employed,Owned,61,Uttar Pradesh
CUST00177,2021-06-22,471,1612143,Unemployed,Owned,60,West Bengal
CUST00178,2021-02-19,499,1404879,Employed,Rented,60,Karnataka
CUST00179,2023-12-20,582,1798679,Self-Employed,Owned,19,Karnataka
CUST00180,2023-08-24,502,1221762,Self-Employed,Owned,63,Tamil Nadu
CUST00181,2020-11-10,305,1921095,Employed,Rented,23,Karnataka
CUST00182,2022-06-02,785,1748695,Employed,Owned,42,West Bengal
CUST00183,2022-05-06,616,1507758,Unemployed,Rented,63,Maharashtra
CUST00184,2023-05-15,639,358067,Unemployed,Owned,63,Rajasthan
CUST00185,2020-04-30,548,903317,Employed,Owned,24,Uttar Pradesh
CUST00186,2023-10-30,343,1675762,Unemployed,Owned,42,Tamil Nadu
CUST00187,2023-09-21,831,1222181,Employed,Owned,58,Maharashtra
CUST00188,2021-11-15,671,509956,Self-Employed,Owned,30,Uttar Pradesh
CUST00189,2023-07-05,656,562434,Self-Employed,Rented,31,Rajasthan
CUST00190,2020-03-07,844,555303,Unemployed,Rented,38,Uttar Pradesh
CUST00191,2020-11-12,758,1600756,Employed,Rented,25,Uttar Pradesh
CUST00192,2020-12-19,460,386173,Self-Employed,Owned,25,Uttar Pradesh
CUST00193,2021-05-15,793,699992,Unemployed,Rented,18,Tamil Nadu
CUST00194,2021-04-11,490,1277994,Unemployed,Rented,47,Kerala
CUST00195,2020-01-06,542,1900125,Employed,Owned,53,Rajasthan
CUST00196,2020-10-30,763,815173,Employed,Rented,21,Gujarat
CUST00197,2022-09-15,633,1865287,Unemployed,Rented,53,Kerala
CUST00198,2020-07-15,821,1018147,Unemployed,Rented,37,Tamil Nadu
CUST00199,2021-07-03,496,1866778,Self-Employed,Owned,36,Rajasthan
CUST00200,2022-11-28,612,1933273,Employed,Rented,48,Kerala
CUST00201,2022-06-22,841,895297,Self-Employed,Owned,32,Karnataka
CUST00202,2022-02-04,477,1641824,Employed,Rented,43,Kerala
CUST00203,2021-09-23,522,1397370,Employed,Owned,19,Maharashtra
CUST00204,2022-05-27,477,1017491,Self-Employed,Owned,21,Rajasthan
CUST00205,2021-01-30,824,1163972,Employed,Owned,63,Delhi
CUST00206,2022-04-21,845,1524605,Self-Employed,Owned,58,Kerala
CUST00207,2023-10-21,811,1960155,Employed,Owned,61,Kerala
CUST00208,2022-07-05,715,964915,Employed,Owned,29,Karnataka
CUST00209,2021-08-15,812,301618,Unemployed,Owned,53,Rajasthan
CUST00210,2023-06-17,844,1555489,Employed,Owned,45,Delhi
CUST00211,2022-12-27,806,1615105,Self-Employed,Owned,41,Karnataka
CUST00212,2023-10-22,679,1924440,Unemployed,Rented,66,Delhi
CUST00213,2021-07-05,821,778812,Employed,Owned,24,Telangana
CUST00214,2020-03-18,477,354218,Unemployed,Owned,26,Uttar Pradesh
CUST00215,2021-11-24,699,951558,Unemployed,Owned,21,Rajasthan
CUST00216,2021-09-04,423,1529911,Unemployed,Rented,29,Maharashtra
CUST00217,2023-12-14,556,992978,Unemployed,Rented,68,Tamil Nadu
CUST00218,2021-09-07,457,1899148,Employed,Rented,69,Karnataka
CUST00219,2020-02-20,602,1629032,Self-Employed,Rented,52,Telangana
CUST00220,2022-04-24,340,778174,Employed,Owned,65,West Bengal
CUST00221,2022-06-02,640,482425,Self-Employed,Owned,68,Karnataka
CUST00222,2020-11-06,837,692223,Unemployed,Owned,65,Gujarat
CUST00223,2022-12-08,671,370836,Unemployed,Rented,62,Gujarat
CUST00224,2021-05-20,754,452668,Employed,Rented,51,Uttar Pradesh
CUST00225,2023-11-14,507,1388698,Self-Employed,Rented,24,Uttar Pradesh
CUST00226,2022-07-21,423,1637366,Employed,Owned,36,Gujarat
CUST00227,2021-09-21,612,1345839,Self-Employed,Rented,32,Tamil Nadu
CUST00228,2022-04-17,608,560710,Self-Employed,Rented,69,Uttar Pradesh
CUST00229,2021-11-04,500,1653962,Employed,Rented,41,Kerala
CUST00230,2022-06-13,350,275513,Employed,Owned,37,Telangana
CUST00231,2023-12-21,756,1438024,Employed,Rented,61,Karnataka
CUST00232,2020-08-15,722,1361650,Self-Employed,Owned,55,Maharashtra
CUST00233,2022-02-25,421,713412,Unemployed,Rented,64,Telangana
CUST00234,2023-05-09,668,467000,Self-Employed,Owned,42,Karnataka
CUST00235,2021-12-24,401,396465,Self-Employed,Rented,33,Gujarat
CUST00236,2022-07-10,531,582288,Self-Employed,Rented,42,Telangana
CUST00237,2023-12-12,474,1039086,Self-Employed,Owned,31,Karnataka
CUST00238,2021-07-05,465,667377,Unemployed,Owned,36,Gujarat
CUST00239,2022-02-18,315,1539818,Unemployed,Owned,43,Tamil Nadu
CUST00240,2020-07-01,393,452806,Unemployed,Rented,19,Gujarat
CUST00241,2020-01-18,784,308265,Unemployed,Rented,29,Telangana
CUST00242,2022-08-31,699,1422055,Employed,Owned,37,Uttar Pradesh
CUST00243,2023-07-26,721,355770,Employed,Owned,57,Rajasthan
CUST00244,2022-10-22,761,1420170,Employed,Owned,27,West Bengal
CUST00245,2022-10-28,382,844369,Unemployed,Rented,47,Karnataka
CUST00246,2023-06-13,314,1909999,Self-Employed,Rented,63,Telangana
CUST00247,2020-05-15,415,1223245,Employed,Rented,48,West Bengal
CUST00248,2020-08-15,449,1513789,Unemployed,Rented,54,Rajasthan
CUST00249,2020-09-26,752,1270374,Employed,Owned,64,Delhi
CUST00250,2023-08-04,634,1776303,Self-Employed,Owned,31,Tamil Nadu
CUST00251,2022-04-09,810,1618734,Employed,Rented,36,Gujarat
CUST00252,2021-12-10,849,431402,Self-Employed,Rented,57,West Bengal
CUST00253,2020-03-07,837,288761,Self-Employed,Rented,48,Maharashtra
CUST00254,2021-11-17,438,1493431,Employed,Rented,62,Maharashtra
CUST00255,2022-05-27,486,1473825,Unemployed,Rented,68,Telangana
CUST00256,2023-09-14,499,1358213,Self-Employed,Owned,65,Kerala
CUST00257,2022-12-04,419,1497858,Self-Employed,Owned,69,Uttar Pradesh
CUST00258,2020-10-22,751,689444,Self-Employed,Owned,37,Kerala
CUST00259,2023-02-11,725,650282,Employed,Owned,42,Delhi
CUST00260,2023-08-25,812,1843641,Self-Employed,Rented,43,Delhi
CUST00261,2021-01-18,485,1823130,Unemployed,Owned,43,Rajasthan
CUST00262,2023-05-15,336,1389954,Self-Employed,Owned,45,Uttar Pradesh
CUST00263,2021-11-25,798,917320,Unemployed,Rented,70,Gujarat
CUST00264,2020-04-30,669,1701725,Self-Employed,Rented,48,Kerala
CUST00265,2022-11-20,417,748964,Self-Employed,Owned,55,Telangana
CUST00266,2021-05-08,343,1886904,Self-Employed,Rented,27,Maharashtra
CUST00267,2023-03-20,600,662215,Self-Employed,Owned,68,Rajasthan
CUST00268,2023-01-18,656,384069,Unemployed,Owned,60,Tamil Nadu
CUST00269,2023-12-31,382,1021026,Self-Employed,Rented,38,Rajasthan
CUST00270,2021-03-18,743,1211980,Employed,Rented,24,West Bengal
CUST00271,2021-09-08,800,295505,Self-Employed,Rented,54,Telangana
CUST00272,2020-12-16,648,696058,Unemployed,Owned,56,Tamil Nadu
CUST00273,2020-09-23,659,364443,Unemployed,Rented,51,Gujarat
CUST00274,2021-10-26,321,438880,Self-Employed,Rented,23,West Bengal
CUST00275,2020-12-26,773,463879,Unemployed,Owned,43,Gujarat
CUST00276,2022-06-23,601,1651573,Self-Employed,Rented,44,Maharashtra
CUST00277,2021-10-21,769,1815689,Unemployed,Owned,24,Gujarat
CUST00278,2023-03-27,659,1991788,Unemployed,Rented,56,Maharashtra
CUST00279,2020-05-05,729,1415866,Unemployed,Owned,54,Kerala
CUST00280,2023-04-09,475,550843,Unemployed,Owned,63,Maharashtra
CUST00281,2022-09-23,402,879289,Self-Employed,Rented,31,Gujarat
CUST00282,2020-04-09,452,1483384,Unemployed,Owned,65,Karnataka
CUST00283,2021-06-01,383,462079,Unemployed,Owned,26,West Bengal
CUST00284,2020-11-28,313,838633,Unemployed,Rented,56,Tamil Nadu
CUST00285,2023-04-09,559,1034617,Unemployed,Rented,20,West Bengal
CUST00286,2022-01-15,744,651038,Unemployed,Owned,36,Uttar Pradesh
CUST00287,2020-08-11,556,450628,Unemployed,Owned,36,West Bengal
CUST00288,2021-03-31,425,1265928,Self-Employed,Rented,26,Gujarat
CUST00289,2020-09-18,799,1283635,Employed,Owned,60,Uttar Pradesh
CUST00290,2022-02-16,668,423282,Employed,Owned,27,Kerala
CUST00291,2023-09-06,685,227736,Self-Employed,Owned,47,Delhi
CUST00292,2020-05-14,434,771387,Employed,Owned,34,Kerala
CUST00293,2020-12-08,733,1756629,Unemployed,Rented,62,Uttar Pradesh
CUST00294,2023-10-12,781,674225,Employed,Rented,39,West Bengal
CUST00295,2020-11-07,343,1473687,Self-Employed,Owned,69,Delhi
CUST00296,2022-09-09,415,831557,Employed,Rented,55,Delhi
CUST00297,2020-09-24,326,1852589,Self-Employed,Rented,18,Telangana
CUST00298,2022-11-21,391,750664,Self-Employed,Rented,70,Tamil Nadu
CUST00299,2022-09-15,722,1164793,Unemployed,Rented,24,Telangana
CUST00300,2023-04-28,687,1997843,Unemployed,Rented,41,Rajasthan
CUST00301,2021-04-10,407,1278508,Unemployed,Rented,40,Telangana
CUST00302,2023-09-10,673,820795,Unemployed,Owned,51,West Bengal
CUST00303,2020-10-11,665,1193563,Employed,Rented,60,Delhi
CUST00304,2021-05-11,491,1230327,Unemployed,Owned,49,Gujarat
CUST00305,2021-04-14,842,255942,Self-Employed,Rented,20,Telangana
CUST00306,2021-02-12,332,1454596,Employed,Rented,42,Kerala
CUST00307,2022-11-16,446,978330,Unemployed,Rented,32,Rajasthan
CUST00308,2021-10-09,844,1128897,Self-Employed,Rented,21,Telangana
CUST00309,2021-01-19,514,288920,Unemployed,Owned,44,Maharashtra
CUST00310,2020-01-19,583,532059,Unemployed,Owned,63,Uttar Pradesh
CUST00311,2020-10-08,450,1417647,Self-Employed,Owned,30,Kerala
CUST00312,2022-04-07,583,734283,Employed,Rented,46,West Bengal
CUST00313,2021-01-13,562,1693883,Employed,Rented,52,West Bengal
CUST00314,2020-08-05,605,579005,Unemployed,Owned,36,Karnataka
CUST00315,2020-10-17,393,994203,Employed,Owned,30,Maharashtra
CUST00316,2020-11-20,413,1542180,Unemployed,Rented,69,Kerala
CUST00317,2023-12-03,847,1310017,Self-Employed,Owned,52,Gujarat
CUST00318,2022-12-11,702,274707,Self-Employed,Owned,38,Delhi
CUST00319,2023-07-25,448,1730923,Employed,Rented,70,Telangana
CUST00320,2022-03-16,519,881228,Self-Employed,Owned,52,Gujarat
CUST00321,2020-08-01,776,239302,Employed,Rented,19,Uttar Pradesh
CUST00322,2023-08-19,490,1155398,Unemployed,Rented,56,Gujarat
CUST00323,2021-11-22,673,252932,Self-Employed,Owned,32,Karnataka
CUST00324,2023-12-17,748,638669,Self-Employed,Rented,60,Kerala
CUST00325,2021-08-26,695,1619248,Unemployed,Owned,40,Maharashtra
CUST00326,2023-05-26,462,1611743,Unemployed,Rented,18,Kerala
CUST00327,2023-05-29,563,606134,Self-Employed,Owned,55,Maharashtra
CUST00328,2020-03-03,473,1363684,Employed,Rented,54,Rajasthan
CUST00329,2022-01-27,325,1312019,Employed,Rented,21,Karnataka
CUST00330,2022-11-21,581,1224549,Unemployed,Rented,23,Uttar Pradesh
CUST00331,2023-01-13,701,779063,Self-Employed,Rented,33,Uttar Pradesh
CUST00332,2021-06-08,405,1811846,Unemployed,Rented,26,Kerala
CUST00333,2021-05-31,411,1259075,Self-Employed,Owned,30,Rajasthan
CUST00334,2023-12-03,533,697363,Self-Employed,Rented,35,Gujarat
CUST00335,2020-04-18,822,1529003,Employed,Owned,54,Tamil Nadu
CUST00336,2020-10-20,586,302450,Self-Employed,Owned,46,Delhi
CUST00337,2021-08-30,314,1383826,Employed,Owned,49,Delhi
CUST00338,2020-03-07,736,1877077,Unemployed,Owned,63,Rajasthan
CUST00339,2020-06-27,644,1710353,Employed,Rented,33,West Bengal
CUST00340,2023-02-04,762,1686460,Self-Employed,Rented,31,Kerala
CUST00341,2020-11-03,389,351508,Self-Employed,Rented,53,Kerala
CUST00342,2021-10-16,806,490836,Self-Employed,Rented,64,Telangana
CUST00343,2021-10-14,489,372791,Employed,Rented,60,Karnataka
CUST00344,2022-04-28,523,1810750,Self-Employed,Owned,49,Tamil Nadu
CUST00345,2020-11-13,822,1668628,Self-Employed,Rented,34,Delhi
CUST00346,2023-08-25,720,353279,Employed,Owned,45,Maharashtra
CUST00347,2023-04-05,517,629293,Employed,Rented,68,Karnataka
CUST00348,2023-05-10,399,1156113,Employed,Owned,36,West Bengal
CUST00349,2023-04-15,554,1326514,Employed,Owned,60,Gujarat
CUST00350,2022-06-05,528,1550817,Self-Employed,Rented,26,Telangana
CUST00351,2023-10-31,621,1168054,Employed,Owned,50,Tamil Nadu
CUST00352,2020-07-30,356,678661,Self-Employed,Rented,50,Gujarat
CUST00353,2023-12-31,763,875932,Self-Employed,Rented,63,Maharashtra
CUST00354,2020-03-05,377,1587773,Unemployed,Owned,60,Karnataka
CUST00355,2022-01-29,555,202413,Unemployed,Owned,61,Telangana
CUST00356,2021-06-09,574,223066,Employed,Owned,30,Uttar Pradesh
CUST00357,2023-09-13,686,1447051,Unemployed,Owned,21,Uttar Pradesh
CUST00358,2023-12-25,712,804931,Employed,Rented,56,Maharashtra
CUST00359,2023-06-19,429,1029445,Unemployed,Owned,22,Maharashtra
CUST00360,2020-05-21,775,1012101,Employed,Owned,23,Delhi
CUST00361,2020-06-16,432,749516,Employed,Owned,51,Delhi
CUST00362,2023-01-21,457,1311073,Unemployed,Owned,63,West Bengal
CUST00363,2021-05-04,414,1939091,Self-Employed,Owned,68,West Bengal
CUST00364,2023-11-03,399,452014,Unemployed,Rented,28,Karnataka
CUST00365,2022-03-28,835,1765408,Unemployed,Owned,45,Uttar Pradesh
CUST00366,2023-01-22,347,531747,Unemployed,Owned,30,Maharashtra
CUST00367,2022-10-15,754,1168411,Self-Employed,Owned,39,Kerala
CUST00368,2022-12-03,409,637387,Self-Employed,Owned,22,Uttar Pradesh
CUST00369,2020-04-16,493,1237521,Employed,Rented,54,West Bengal
CUST00370,2022-02-01,804,1929209,Employed,Owned,41,Uttar Pradesh
CUST00371,2020-08-20,488,1608703,Unemployed,Rented,21,Gujarat
CUST00372,2023-03-01,358,539488,Employed,Rented,66,Gujarat
CUST00373,2022-04-07,534,1251185,Unemployed,Owned,60,Telangana
CUST00374,2021-10-16,630,886821,Unemployed,Rented,19,Kerala
CUST00375,2021-08-18,751,1019278,Employed,Owned,21,Telangana
CUST00376,2020-09-16,397,690094,Employed,Owned,64,Karnataka
CUST00377,2021-08-18,647,1953457,Self-Employed,Rented,50,Karnataka
CUST00378,2020-02-05,847,800984,Self-Employed,Rented,58,Kerala
CUST00379,2023-07-31,381,382337,Employed,Rented,32,Kerala
