loan_id,customer_id,disbursement_date,loan_amount,interest_rate,tenure_months,loan_type,emi_amount,current_status
LN00072,CUST04793,2022-11-15,214457,10.65,24,Education Loan,9960,ACTIVE
LN00073,CUST00764,2022-07-18,444567,15.02,240,Education Loan,5860,ACTIVE
LN00074,CUST08195,2022-03-29,1268812,15.9,12,Personal Loan,115060,ACTIVE
LN00075,CUST00740,2023-03-27,1361768,11.6,120,Personal Loan,19223,CLOSED
LN00076,CUST06438,2022-01-02,603446,11.97,12,Auto Loan,53606,ACTIVE
LN00077,CUST09024,2024-09-17,442306,15.2,24,Education Loan,21487,CLOSED
LN00078,CUST05835,2021-07-11,1488487,15.37,180,Home Loan,21211,CLOSED
LN00079,CUST03194,2024-03-16,269690,14.72,240,Auto Loan,3495,ACTIVE
LN00080,CUST08847,2022-01-01,682901,11.51,240,Home Loan,7287,ACTIVE
LN00081,CUST04011,2022-01-20,2852441,9.31,48,Personal Loan,71403,DELINQUENT
LN00082,CUST02257,2022-04-15,1509956,8.72,12,Auto Loan,131851,ACTIVE
LN00083,CUST07108,2022-06-08,2020668,14.78,240,Home Loan,26280,DEFAULT
LN00084,CUST01037,2023-08-27,172572,15.53,240,Auto Loan,2340,DEFAULT
LN00085,CUST00022,2021-03-18,1783658,12.88,48,Home Loan,47744,DELINQUENT
LN00086,CUST08745,2022-02-07,667791,17.99,60,Home Loan,16953,ACTIVE
LN00087,CUST02400,2024-11-10,2152760,11.34,180,Business Loan,24929,ACTIVE
LN00088,CUST04112,2021-11-23,383490,13.97,48,Auto Loan,10473,ACTIVE
LN00089,CUST01048,2023-03-19,704281,16.52,120,Business Loan,12026,ACTIVE
LN00090,CUST05502,2024-08-10,799669,9.57,60,Personal Loan,16821,ACTIVE
LN00091,CUST04478,2021-10-10,392660,10.92,12,Auto Loan,34689,DEFAULT
LN00092,CUST03964,2021-02-13,109661,10.13,36,Education Loan,3545,DEFAULT
LN00093,CUST00558,2021-06-07,60431,11.89,48,Home Loan,1588,DELINQUENT
LN00094,CUST03716,2020-07-28,2022617,13.19,24,Education Loan,96339,ACTIVE
LN00095,CUST07712,2020-06-30,1769142,14.81,24,Business Loan,85620,DELINQUENT
LN00096,CUST08208,2022-09-24,849027,13.62,24,Home Loan,40611,ACTIVE
LN00097,CUST05559,2022-04-08,881716,8.97,180,Auto Loan,8927,DEFAULT
LN00098,CUST02821,2021-11-14,273235,9.39,36,Education Loan,8738,DELINQUENT
LN00099,CUST07201,2021-08-23,185572,17.24,120,Education Loan,3253,ACTIVE
LN00100,CUST09728,2022-03-19,52347,9.99,180,Education Loan,562,DELINQUENT
LN00101,CUST09491,2023-10-22,127523,17.15,120,Personal Loan,2228,ACTIVE
LN00102,CUST04323,2023-08-18,99220,17.1,180,Auto Loan,1534,DELINQUENT
LN00103,CUST00637,2020-11-05,795787,11.93,180,Business Loan,9514,ACTIVE
LN00104,CUST03084,2020-06-29,189867,9.35,120,Business Loan,2441,CLOSED
LN00105,CUST07786,2020-03-24,530068,13.9,180,Personal Loan,7023,DEFAULT
LN00106,CUST02874,2023-09-16,248192,12.41,60,Business Loan,5572,ACTIVE
LN00107,CUST00029,2021-12-13,342804,8.68,240,Business Loan,3014,CLOSED
LN00108,CUST09276,2021-03-07,592909,17.54,180,Personal Loan,9352,DELINQUENT
LN00109,CUST06220,2020-06-06,353474,13.65,24,Business Loan,16912,ACTIVE
LN00110,CUST04595,2021-07-22,1767912,11.48,60,Home Loan,38863,CLOSED
LN00111,CUST04759,2020-02-21,204666,11.89,180,Business Loan,2441,ACTIVE
LN00112,CUST01886,2024-11-03,926204,12.67,24,Education Loan,43889,ACTIVE
LN00113,CUST04512,2023-07-28,430731,12.51,240,Business Loan,4896,CLOSED
LN00114,CUST01045,2021-07-10,89632,16.26,48,Auto Loan,2552,ACTIVE
LN00115,CUST00019,2021-06-25,708703,8.81,120,Personal Loan,8904,DEFAULT
LN00116,CUST01433,2022-05-09,208993,15.89,12,Business Loan,18951,DEFAULT
LN00117,CUST04625,2020-05-22,498573,17.7,240,Auto Loan,7579,CLOSED
LN00118,CUST04682,2020-01-23,1875906,17.65,180,Business Loan,29738,CLOSED
LN00119,CUST09220,2021-04-12,239223,11.02,36,Education Loan,7834,ACTIVE
LN00120,CUST06267,2022-10-13,209899,15.98,180,Personal Loan,3079,ACTIVE
LN00121,CUST00032,2024-01-04,2973552,10.66,240,Education Loan,30007,CLOSED
LN00122,CUST09171,2022-02-14,1776814,11.63,60,Education Loan,39192,CLOSED
LN00123,CUST06508,2022-03-23,1081231,12.23,48,Personal Loan,28595,ACTIVE
LN00124,CUST00807,2022-12-05,1198525,14.4,180,Auto Loan,16284,DELINQUENT
LN00125,CUST06571,2022-04-15,245071,9.06,180,Business Loan,2494,ACTIVE
LN00126,CUST03371,2024-03-24,94717,9.51,240,Personal Loan,883,ACTIVE
LN00127,CUST04354,2023-11-29,154628,14.4,120,Home Loan,2438,ACTIVE
LN00128,CUST06165,2024-02-01,145114,17.07,240,Education Loan,2136,ACTIVE
LN00129,CUST06757,2023-07-11,1528424,9.11,24,Education Loan,69902,ACTIVE
LN00130,CUST04807,2021-05-11,932280,16.87,180,Personal Loan,14262,CLOSED
LN00131,CUST01487,2022-10-17,975228,12.21,12,Business Loan,86743,ACTIVE
LN00132,CUST02777,2024-03-04,2654446,16.1,36,Auto Loan,93453,CLOSED
LN00133,CUST08099,2021-02-20,302263,16.24,48,Personal Loan,8603,ACTIVE
LN00134,CUST06759,2024-12-08,2855290,13.14,120,Personal Loan,42868,DELINQUENT
LN00135,CUST00102,2023-12-03,2310901,13.73,60,Personal Loan,53447,ACTIVE
LN00136,CUST07733,2024-07-29,448405,17.54,36,Business Loan,16107,ACTIVE
LN00137,CUST02982,2021-04-02,373220,9.52,36,Education Loan,11958,ACTIVE
LN00138,CUST07559,2022-11-23,277700,9.25,48,Personal Loan,6943,ACTIVE
LN00139,CUST01750,2020-05-12,728177,13.47,48,Auto Loan,19705,ACTIVE
LN00140,CUST01739,2021-05-21,2875219,12.29,240,Education Loan,32241,ACTIVE
LN00141,CUST02787,2023-01-14,1792852,18.04,36,Home Loan,64851,ACTIVE
LN00142,CUST05732,2022-10-18,287936,9.49,36,Education Loan,9222,ACTIVE
LN00143,CUST06135,2023-04-26,893902,16.38,240,Education Loan,12691,CLOSED
LN00144,CUST04345,2021-03-22,94266,10.69,48,Education Loan,2422,CLOSED
LN00145,CUST00996,2024-02-07,141660,11.23,36,Personal Loan,4653,ACTIVE
LN00146,CUST07124,2023-03-10,102833,18.39,180,Auto Loan,1684,DELINQUENT
LN00147,CUST02955,2021-08-08,1279044,13.71,24,Home Loan,61235,ACTIVE
LN00148,CUST05300,2023-10-05,266970,18.01,120,Business Loan,4812,DELINQUENT
LN00149,CUST05793,2024-10-27,191245,9.02,60,Home Loan,3971,ACTIVE
LN00150,CUST01315,2020-01-25,2738551,9.71,60,Home Loan,57796,CLOSED
LN00151,CUST00300,2023-10-24,1508580,14.2,60,Business Loan,35258,CLOSED
LN00152,CUST03510,2023-01-26,99804,13.34,24,Personal Loan,4760,ACTIVE
LN00153,CUST03763,2022-01-26,2932250,16.76,180,Auto Loan,44629,ACTIVE
LN00154,CUST06398,2021-02-16,215350,14.19,60,Business Loan,5032,ACTIVE
LN00155,CUST09298,2023-09-12,2101299,18.46,36,Personal Loan,76452,CLOSED
LN00156,CUST06095,2021-02-11,367320,13.0,48,Auto Loan,9854,ACTIVE
LN00157,CUST05085,2020-04-25,435798,13.79,60,Personal Loan,10092,DEFAULT
LN00158,CUST07373,2023-05-13,2365858,14.02,24,Auto Loan,113614,DELINQUENT
LN00159,CUST04003,2023-08-19,214045,17.1,12,Home Loan,19532,ACTIVE
LN00160,CUST07195,2024-02-07,139158,12.87,240,Personal Loan,1617,DELINQUENT
LN00161,CUST03031,2023-02-14,1596530,11.64,36,Home Loan,52753,ACTIVE
LN00162,CUST03909,2024-06-26,642940,9.38,12,Personal Loan,56339,ACTIVE
LN00163,CUST01101,2022-08-30,315081,10.92,180,Business Loan,3565,CLOSED
LN00164,CUST05338,2024-06-21,70333,11.68,24,Business Loan,3300,ACTIVE
LN00165,CUST07698,2021-05-28,184797,16.77,12,Home Loan,16834,ACTIVE
LN00166,CUST06942,2023-03-27,97033,9.76,120,Home Loan,1269,DELINQUENT
LN00167,CUST09486,2020-04-05,1149305,13.26,48,Business Loan,30981,ACTIVE
LN00168,CUST00618,2024-03-25,90583,15.07,60,Business Loan,2158,ACTIVE
LN00169,CUST08441,2022-12-10,1202420,13.42,60,Business Loan,27617,ACTIVE
LN00170,CUST06976,2020-06-02,1341901,14.49,36,Personal Loan,46182,ACTIVE
LN00171,CUST02907,2023-04-29,307643,11.91,60,Education Loan,6829,ACTIVE
LN00172,CUST02094,2021-04-04,1366711,14.03,48,Business Loan,37367,DELINQUENT
LN00173,CUST08977,2020-03-14,434645,14.48,36,Business Loan,14956,DELINQUENT
LN00174,CUST01954,2021-01-07,389861,17.12,120,Business Loan,6805,ACTIVE
LN00175,CUST06834,2021-09-25,2706621,8.9,36,Home Loan,85943,CLOSED
LN00176,CUST06404,2023-04-06,1837372,12.42,48,Personal Loan,48764,ACTIVE
LN00177,CUST01365,2021-03-14,108389,10.7,12,Education Loan,9564,CLOSED
LN00178,CUST04881,2020-05-31,523965,13.9,24,Business Loan,25132,DELINQUENT
LN00179,CUST00864,2023-01-20,210297,17.53,60,Personal Loan,5286,CLOSED
LN00180,CUST07433,2022-05-25,92037,9.59,120,Business Loan,1195,ACTIVE
LN00181,CUST04674,2021-03-19,1200337,14.14,240,Auto Loan,15048,DELINQUENT
LN00182,CUST03592,2020-02-03,316875,17.95,240,Home Loan,4878,ACTIVE
LN00183,CUST09533,2023-06-09,1481552,10.54,24,Personal Loan,68735,ACTIVE
LN00184,CUST04771,2024-02-26,1884437,9.78,36,Business Loan,60611,ACTIVE
LN00185,CUST00655,2022-04-13,308683,12.66,24,Home Loan,14626,CLOSED
LN00186,CUST03960,2021-11-28,330745,12.41,180,Personal Loan,4057,ACTIVE
LN00187,CUST06739,2020-12-24,2844488,9.93,180,Auto Loan,30445,ACTIVE
LN00188,CUST09671,2024-01-29,2683036,12.89,36,Auto Loan,90259,DEFAULT
LN00189,CUST09819,2021-05-10,1902896,17.29,48,Business Loan,55194,ACTIVE
LN00190,CUST02448,2024-02-02,210464,13.81,36,Personal Loan,7173,ACTIVE
LN00191,CUST02828,2021-12-30,604295,15.5,24,Home Loan,29443,DELINQUENT
LN00192,CUST03800,2023-10-24,2158198,10.18,240,Home Loan,21085,ACTIVE
LN00193,CUST00431,2020-01-21,483446,12.62,60,Auto Loan,10906,ACTIVE
LN00194,CUST06979,2023-07-07,699175,8.66,120,Business Loan,8728,ACTIVE
LN00195,CUST03304,2024-04-02,687063,15.45,240,Personal Loan,9276,ACTIVE
LN00196,CUST01616,2020-11-28,852113,16.9,60,Education Loan,21131,ACTIVE
LN00197,CUST08329,2023-05-08,116092,15.21,180,Education Loan,1641,CLOSED
LN00198,CUST01137,2023-04-18,1332681,14.9,12,Personal Loan,120222,DELINQUENT
LN00199,CUST04642,2023-03-22,1777535,9.12,60,Auto Loan,37002,ACTIVE
LN00200,CUST02513,2024-03-28,297113,17.36,12,Auto Loan,27148,ACTIVE
LN00201,CUST07995,2024-06-26,1219618,17.06,36,Auto Loan,43519,ACTIVE
LN00202,CUST03465,2023-12-05,1822970,16.94,24,Business Loan,90079,CLOSED
LN00203,CUST00682,2022-05-27,426646,12.64,60,Business Loan,9629,ACTIVE
LN00204,CUST05672,2020-10-02,748770,15.38,120,Home Loan,12255,ACTIVE
LN00205,CUST07977,2021-04-04,2003695,15.1,120,Home Loan,32449,ACTIVE
LN00206,CUST03525,2020-09-08,334767,11.95,60,Education Loan,7438,CLOSED
LN00207,CUST06072,2023-10-03,2445698,14.12,36,Personal Loan,83730,ACTIVE
LN00208,CUST07657,2021-01-27,2966936,12.55,24,Business Loan,140427,ACTIVE
LN00209,CUST06641,2024-04-23,330499,9.96,48,Auto Loan,8375,ACTIVE
LN00210,CUST07033,2022-05-05,536947,9.46,12,Home Loan,47071,ACTIVE
LN00211,CUST03550,2021-03-18,1476512,12.24,240,Education Loan,16505,ACTIVE
LN00212,CUST08301,2021-04-09,147461,9.4,36,Personal Loan,4716,DELINQUENT
LN00213,CUST07287,2020-03-25,278065,13.5,180,Education Loan,3610,DELINQUENT
LN00214,CUST05684,2022-10-24,1572588,8.56,36,Education Loan,49686,ACTIVE
LN00215,CUST00317,2024-03-13,374751,15.24,12,Personal Loan,33866,DELINQUENT
LN00216,CUST04436,2023-01-22,91309,8.9,48,Business Loan,2267,DEFAULT
LN00217,CUST01575,2020-04-11,2800976,10.39,240,Home Loan,27757,DEFAULT
LN00218,CUST07026,2020-04-07,2619420,13.49,36,Business Loan,88878,CLOSED
LN00219,CUST02784,2022-04-06,1667502,13.25,24,Home Loan,79472,ACTIVE
LN00220,CUST04180,2023-09-11,631787,9.79,60,Home Loan,13358,ACTIVE
LN00221,CUST06744,2022-01-04,222638,8.91,60,Personal Loan,4611,ACTIVE
LN00222,CUST03084,2023-12-01,555770,10.07,48,Auto Loan,14114,CLOSED
LN00223,CUST00856,2023-12-04,799425,11.44,12,Personal Loan,70818,ACTIVE
LN00224,CUST08111,2021-01-02,2484899,15.64,36,Auto Loan,86920,ACTIVE
LN00225,CUST01125,2022-05-11,578893,10.61,60,Home Loan,12474,ACTIVE
LN00226,CUST00142,2023-12-31,200058,10.03,240,Education Loan,1934,DELINQUENT
LN00227,CUST05924,2022-10-24,82163,16.47,120,Home Loan,1400,CLOSED
LN00228,CUST08810,2024-01-10,1750605,18.24,180,Auto Loan,28494,CLOSED
LN00229,CUST04221,2020-10-07,1864463,12.55,12,Home Loan,166135,ACTIVE
LN00230,CUST07816,2021-04-02,266872,10.23,120,Personal Loan,3560,ACTIVE
LN00231,CUST04713,2021-07-15,2915609,14.1,12,Home Loan,261921,CLOSED
LN00232,CUST01685,2021-11-07,145361,11.1,240,Auto Loan,1510,CLOSED
LN00233,CUST05889,2022-09-05,1018456,11.38,12,Personal Loan,90193,ACTIVE
LN00234,CUST03054,2023-02-09,2951513,15.58,36,Personal Loan,103155,DELINQUENT
LN00235,CUST03720,2023-11-14,1409507,14.07,24,Personal Loan,67721,CLOSED
LN00236,CUST01276,2022-01-26,2068135,14.26,180,Business Loan,27904,CLOSED
LN00237,CUST01925,2022-11-12,758301,10.36,120,Education Loan,10172,DELINQUENT
LN00238,CUST03608,2021-12-16,71309,17.93,60,Education Loan,1808,ACTIVE
LN00239,CUST07348,2024-04-14,2876813,18.31,36,Business Loan,104451,DEFAULT
LN00240,CUST06303,2024-03-06,412523,14.61,120,Auto Loan,6557,CLOSED
LN00241,CUST02054,2022-12-19,2435308,11.71,36,Home Loan,80550,ACTIVE
LN00242,CUST01788,2024-09-06,337171,17.78,60,Home Loan,8521,ACTIVE
LN00243,CUST06563,2022-06-03,345416,18.44,36,Auto Loan,12563,CLOSED
LN00244,CUST05738,2021-10-01,502825,10.29,60,Business Loan,10755,DELINQUENT
LN00245,CUST09170,2023-02-15,127118,15.12,120,Home Loan,2060,DELINQUENT
LN00246,CUST01879,2024-04-14,364399,10.75,240,Business Loan,3699,CLOSED
LN00247,CUST08942,2020-01-09,542505,10.64,36,Auto Loan,17668,CLOSED
LN00248,CUST08179,2024-12-07,1808332,17.79,24,Education Loan,90095,ACTIVE
LN00249,CUST00103,2020-10-29,187611,18.41,12,Business Loan,17236,ACTIVE
LN00250,CUST08867,2024-05-07,2627362,8.51,12,Business Loan,229170,ACTIVE
LN00251,CUST02279,2023-10-11,353127,16.95,180,Personal Loan,5422,ACTIVE
LN00252,CUST01080,2022-12-07,191272,12.21,180,Personal Loan,2321,ACTIVE
LN00253,CUST00942,2023-12-22,299539,9.49,48,Personal Loan,7523,ACTIVE
LN00254,CUST02499,2022-09-01,357495,15.12,60,Home Loan,8527,ACTIVE
LN00255,CUST00065,2022-06-29,2201100,8.68,180,Personal Loan,21907,CLOSED
LN00256,CUST08547,2023-06-02,2978426,14.5,48,Home Loan,82138,ACTIVE
LN00257,CUST05124,2024-08-25,2237481,13.64,12,Business Loan,200518,ACTIVE
LN00258,CUST02370,2024-04-19,379923,12.65,48,Home Loan,10126,ACTIVE
LN00259,CUST08836,2021-05-01,656775,18.27,60,Home Loan,16774,DELINQUENT
LN00260,CUST02195,2020-06-22,438963,9.19,48,Home Loan,10963,DEFAULT
LN00261,CUST07266,2023-04-22,95590,9.58,120,Auto Loan,1241,DELINQUENT
LN00262,CUST02800,2024-11-04,57705,17.83,120,Personal Loan,1033,ACTIVE
LN00263,CUST09578,2022-01-05,625412,16.22,120,Home Loan,10562,ACTIVE
LN00264,CUST07201,2020-09-23,2453022,14.65,60,Personal Loan,57907,ACTIVE
LN00265,CUST04507,2024-02-24,278976,15.8,36,Home Loan,9780,ACTIVE
LN00266,CUST00218,2023-10-10,687735,15.2,120,Auto Loan,11179,ACTIVE
LN00267,CUST03774,2023-07-16,736289,17.15,60,Home Loan,18358,DELINQUENT
LN00268,CUST04263,2020-12-17,2689478,12.97,48,Personal Loan,72111,DELINQUENT
LN00269,CUST06930,2020-12-30,457345,9.41,180,Education Loan,4750,CLOSED
LN00270,CUST04244,2020-08-06,149643,12.56,180,Education Loan,1850,ACTIVE
LN00271,CUST02697,2020-01-29,2374499,10.14,180,Auto Loan,25720,DELINQUENT
LN00272,CUST03982,2023-10-14,199050,16.09,180,Home Loan,2935,CLOSED
LN00273,CUST03718,2021-11-15,2960517,8.94,24,Auto Loan,135168,ACTIVE
LN00274,CUST08441,2020-07-05,1286820,13.13,240,Auto Loan,15195,ACTIVE
LN00275,CUST04802,2023-05-07,558572,11.0,240,Business Loan,5765,CLOSED
LN00276,CUST04149,2023-04-09,1274763,10.92,36,Auto Loan,41685,ACTIVE
LN00277,CUST09202,2024-06-24,228825,17.75,240,Home Loan,3487,ACTIVE
LN00278,CUST03219,2020-07-31,602364,10.52,120,Personal Loan,8134,ACTIVE
LN00279,CUST09833,2024-06-15,1433522,17.84,60,Home Loan,36277,ACTIVE
LN00280,CUST02799,2022-04-06,2631055,17.15,60,Home Loan,65600,DEFAULT
LN00281,CUST09149,2024-03-17,121180,9.81,180,Business Loan,1288,ACTIVE
LN00282,CUST05278,2020-01-11,350730,17.35,120,Home Loan,6173,ACTIVE
LN00283,CUST00153,2022-03-23,265350,16.43,240,Auto Loan,3777,DEFAULT
LN00284,CUST03368,2024-09-07,286186,15.01,120,Business Loan,4618,ACTIVE
LN00285,CUST08808,2021-05-06,238222,11.27,48,Education Loan,6188,ACTIVE
LN00286,CUST02608,2020-10-05,1890601,11.95,24,Home Loan,88953,DELINQUENT
LN00287,CUST03147,2023-02-22,507340,15.56,48,Auto Loan,14264,ACTIVE
LN00288,CUST09114,2023-02-22,1959042,13.36,36,Home Loan,66348,DELINQUENT
LN00289,CUST01359,2021-01-26,226862,16.6,48,Education Loan,6499,ACTIVE
LN00290,CUST07058,2023-04-23,174756,18.16,48,Education Loan,5148,CLOSED
LN00291,CUST08554,2021-12-24,2084433,9.62,48,Education Loan,52487,ACTIVE
LN00292,CUST00478,2022-06-11,1163147,13.54,24,Auto Loan,55593,ACTIVE
LN00293,CUST04603,2020-09-14,218885,10.6,36,Personal Loan,7124,CLOSED
LN00294,CUST07179,2022-03-21,788355,14.65,60,Auto Loan,18610,CLOSED
LN00295,CUST02356,2022-03-19,2825120,18.3,180,Personal Loan,46107,ACTIVE
LN00296,CUST01750,2024-08-12,2218433,11.63,12,Education Loan,196721,ACTIVE
LN00297,CUST09720,2024-03-06,2554642,17.84,180,Business Loan,40846,CLOSED
LN00298,CUST03175,2024-07-03,198679,8.55,48,Education Loan,4901,CLOSED
LN00299,CUST06602,2022-04-18,88312,14.18,120,Personal Loan,1380,DELINQUENT
LN00300,CUST05528,2021-04-16,481016,15.43,120,Home Loan,7887,ACTIVE
LN00301,CUST09173,2020-04-28,682604,8.89,48,Home Loan,16950,CLOSED
LN00302,CUST00483,2023-01-08,1073152,15.79,12,Business Loan,97261,DELINQUENT
LN00303,CUST02763,2023-11-19,183925,13.89,120,Home Loan,2843,CLOSED
LN00304,CUST01908,2020-04-15,624032,13.15,240,Education Loan,7377,DELINQUENT
LN00305,CUST03364,2022-07-21,172446,17.54,12,Education Loan,15772,ACTIVE
LN00306,CUST04801,2024-02-14,130045,10.71,48,Business Loan,3342,ACTIVE
LN00307,CUST05090,2022-11-09,2197669,10.13,180,Personal Loan,23791,DELINQUENT
LN00308,CUST02904,2024-07-05,65119,15.25,120,Business Loan,1060,ACTIVE
LN00309,CUST00520,2020-04-14,75907,11.07,12,Auto Loan,6711,ACTIVE
LN00310,CUST06885,2023-10-07,641780,15.06,24,Education Loan,31136,ACTIVE
LN00311,CUST06553,2023-03-19,1751893,16.46,60,Personal Loan,43032,ACTIVE
LN00312,CUST08062,2021-03-14,72135,15.71,24,Business Loan,3521,ACTIVE
LN00313,CUST06637,2022-06-30,1366620,16.28,12,Auto Loan,124175,CLOSED
LN00314,CUST05216,2023-06-15,2367120,14.9,24,Auto Loan,114661,CLOSED
LN00315,CUST08092,2023-11-25,134410,13.44,24,Business Loan,6417,ACTIVE
LN00316,CUST06013,2022-03-07,2960627,13.5,12,Business Loan,265130,ACTIVE
LN00317,CUST08464,2022-02-08,405710,16.8,12,Personal Loan,36964,CLOSED
LN00318,CUST01553,2024-09-06,261003,13.53,60,Home Loan,6009,ACTIVE
